DOLLAREL,DOLLARNG,DOLLARFO,DOLLARLP,SCALEB,SCALEG,SCALEE,PAYHELP,ENERGYASST,COLDMA,HOTMA
1248.12,0.0,0.0,260.6,0,0,0,-2,0,0,0
3658.41,550.91,0.0,0.0,0,0,0,-2,0,0,0
657.9,0.0,0.0,235.39,0,0,0,-2,0,0,0
990.29,769.47,0.0,0.0,0,0,0,-2,0,0,0
1227.89,495.02,0.0,0.0,0,0,0,-2,0,0,0
1157.79,0.0,1166.5,0.0,0,0,0,-2,0,0,0
418.07,970.29,0.0,0.0,0,0,0,-2,1,0,0
2517.7,0.0,0.0,0.0,0,0,0,-2,0,0,0
1411.16,0.0,0.0,0.0,0,0,0,-2,0,0,0
1345.43,0.0,0.0,0.0,0,0,0,-2,0,0,0
1210.86,1098.3,0.0,0.0,0,0,0,-2,0,0,0
1991.41,1207.81,0.0,0.0,0,0,0,-2,0,0,0
1757.1,0.0,0.0,0.0,0,0,0,-2,0,0,0
789.11,367.45,0.0,0.0,0,0,0,-2,0,0,0
1045.22,0.0,0.0,51.2,0,0,0,-2,0,0,0
1992.65,1482.11,0.0,0.0,0,0,0,-2,0,0,0
1516.08,536.41,0.0,0.0,0,0,0,-2,0,0,0
759.56,356.34,0.0,0.0,0,0,0,-2,1,0,0
634.49,163.56,0.0,0.0,0,0,0,-2,0,0,0
657.91,0.0,0.0,625.45,0,0,0,-2,0,0,0
1960.91,187.37,0.0,0.0,0,0,0,-2,0,0,0
740.93,441.0,0.0,0.0,0,0,0,-2,0,0,0
1091.01,0.0,1100.03,0.0,0,0,0,-2,0,0,0
2389.91,0.0,0.0,0.0,2,3,2,0,0,0,0
364.32,517.23,0.0,0.0,0,0,0,-2,0,0,0
790.57,515.35,0.0,0.0,0,0,0,-2,0,0,0
927.94,0.0,992.84,0.0,0,0,0,-2,0,0,0
741.79,0.0,0.0,0.0,0,0,0,-2,0,0,0
2218.96,0.0,0.0,0.0,2,0,0,-2,0,0,0
2072.23,991.75,0.0,1012.41,0,0,0,-2,0,0,0
1258.07,989.18,0.0,0.0,0,0,0,-2,0,0,0
2349.66,0.0,0.0,0.0,0,0,0,-2,0,0,0
1202.14,0.0,0.0,0.0,0,2,0,-2,0,0,0
2256.42,0.0,0.0,3437.5,0,0,0,-2,0,0,0
1983.51,795.26,0.0,0.0,0,0,0,-2,0,0,0
1137.79,526.76,0.0,0.0,0,3,0,-2,0,0,0
1750.19,0.0,1715.78,185.88,1,3,1,0,0,0,0
830.13,570.17,0.0,0.0,0,0,0,-2,0,0,0
1702.07,0.0,0.0,0.0,0,0,0,-2,0,0,0
1372.53,639.63,0.0,0.0,0,0,0,-2,0,0,0
926.42,0.0,0.0,0.0,0,3,0,-2,0,0,0
1262.8,551.72,0.0,0.0,0,0,0,-2,0,0,0
620.6,726.37,0.0,0.0,0,0,0,-2,0,0,0
1598.24,0.0,0.0,0.0,0,0,0,-2,0,0,0
816.47,532.4,0.0,0.0,0,0,0,-2,0,0,0
1150.67,285.21,0.0,0.0,0,0,0,-2,0,0,0
1194.88,0.0,222.04,576.18,0,0,0,-2,0,0,0
809.23,646.99,0.0,0.0,0,0,0,-2,0,0,0
711.82,592.43,0.0,0.0,0,0,0,-2,0,0,0
2002.22,666.39,0.0,0.0,1,0,2,0,0,0,0
1525.94,0.0,0.0,0.0,0,0,0,-2,0,0,0
964.45,0.0,0.0,113.42,2,0,0,-2,0,0,0
726.99,276.84,0.0,0.0,0,0,0,-2,0,0,0
1335.91,668.73,0.0,0.0,0,0,0,-2,0,0,0
2264.31,421.4,0.0,0.0,0,0,0,-2,0,0,0
1466.63,1097.05,0.0,0.0,0,0,0,-2,0,0,0
3796.29,1105.14,0.0,0.0,2,2,0,-2,0,0,0
1072.9,571.03,0.0,0.0,3,0,0,-2,0,0,0
991.96,506.81,0.0,0.0,0,0,0,-2,0,0,0
846.55,0.0,0.0,0.0,1,0,2,0,1,0,0
1066.53,0.0,0.0,0.0,0,0,0,-2,0,0,0
1109.34,0.0,2250.89,0.0,0,0,0,-2,0,0,0
2508.14,571.2,0.0,0.0,0,1,0,-2,0,0,0
368.01,726.97,0.0,0.0,0,0,0,-2,0,0,0
3123.45,0.0,2004.54,0.0,0,0,0,-2,0,0,0
1543.15,553.74,448.03,0.0,0,0,0,-2,0,0,0
1046.4,492.2,0.0,0.0,0,0,0,-2,0,0,0
1622.65,246.01,0.0,0.0,3,0,0,-2,0,0,0
1573.39,0.0,0.0,0.0,2,0,0,-2,0,0,0
5176.3,2069.71,0.0,0.0,0,0,0,-2,0,0,0
2242.86,0.0,0.0,0.0,1,0,1,0,0,0,0
2404.32,0.0,0.0,0.0,0,0,0,-2,0,0,0
1020.47,520.34,0.0,0.0,0,0,0,-2,0,0,0
1474.06,0.0,0.0,3.26,0,0,0,-2,0,0,0
2687.58,0.0,0.0,15.14,0,0,0,-2,0,0,0
778.4,669.86,0.0,0.0,0,0,0,-2,0,0,0
2340.57,0.0,0.0,0.0,0,0,0,-2,0,0,0
2402.67,1983.86,0.0,0.0,0,0,0,-2,0,0,0
4472.73,0.0,0.0,0.0,0,0,0,-2,0,0,0
1432.82,487.13,0.0,279.93,0,0,0,-2,0,0,0
1730.94,0.0,0.0,0.0,0,0,0,-2,0,0,0
541.63,227.96,0.0,0.0,2,3,2,0,0,0,0
706.92,523.0,0.0,0.0,0,0,0,-2,0,0,0
2802.34,0.0,0.0,1664.06,2,0,0,-2,0,0,0
1431.32,146.71,0.0,0.0,0,0,0,-2,0,0,0
2465.47,443.14,0.0,0.0,0,2,0,-2,0,0,0
824.46,608.62,0.0,0.0,0,0,0,-2,0,0,0
1567.41,503.06,0.0,0.0,0,0,0,-2,0,0,0
2844.42,2588.63,0.0,0.0,0,0,0,-2,0,0,0
3468.12,0.0,0.0,0.0,0,0,0,-2,0,0,0
1570.52,0.0,0.0,0.0,2,0,0,-2,0,0,0
787.95,711.15,0.0,0.0,0,0,0,-2,0,0,0
1185.34,232.47,420.19,0.0,0,0,0,-2,0,0,0
438.79,470.94,0.0,0.0,0,2,0,-2,0,0,0
1418.97,0.0,0.0,0.0,0,0,0,-2,0,0,0
831.26,0.0,0.0,0.0,2,0,0,-2,0,0,0
465.69,644.87,0.0,0.0,3,0,3,1,0,0,0
1549.78,819.02,0.0,0.0,0,0,0,-2,0,0,0
1613.63,0.0,0.0,0.0,2,0,0,-2,0,0,0
996.89,321.57,0.0,0.0,0,0,0,-2,0,0,0
1884.09,0.0,0.0,0.0,2,0,3,0,0,0,0
1163.85,380.64,0.0,0.0,2,0,1,0,0,0,0
1003.78,529.83,0.0,0.0,0,0,0,-2,0,0,0
1021.44,649.78,0.0,0.0,2,0,0,-2,0,0,0
1528.08,0.0,0.0,0.0,0,0,0,-2,0,0,0
1695.21,0.0,0.0,0.0,0,0,0,-2,0,0,0
1231.06,0.0,0.0,676.83,0,0,0,-2,0,0,0
630.13,0.0,0.0,1760.47,0,0,3,0,0,0,0
971.1,838.92,0.0,0.0,0,0,0,-2,0,0,0
389.01,204.76,0.0,0.0,0,0,0,-2,0,0,0
751.81,581.33,0.0,0.0,3,0,0,-2,0,0,0
1029.92,0.0,0.0,0.0,0,0,0,-2,0,0,0
1843.59,0.0,0.0,0.0,0,0,0,-2,0,0,0
1216.6,365.89,0.0,0.0,0,0,0,-2,0,0,0
1701.82,0.0,0.0,0.0,0,0,0,-2,0,0,0
491.04,0.0,0.0,444.73,0,0,0,-2,0,0,0
1873.12,0.0,0.0,0.0,0,0,0,-2,0,0,0
2374.0,0.0,0.0,0.0,0,0,0,-2,0,0,0
1853.27,855.49,0.0,0.0,0,0,0,-2,0,0,0
1658.84,567.2,0.0,0.0,0,0,0,-2,0,0,0
643.15,0.0,1849.53,0.0,0,0,0,-2,0,0,0
1557.07,1383.71,0.0,0.0,0,0,0,-2,0,0,0
1823.02,999.84,0.0,0.0,0,0,0,-2,0,0,0
958.27,592.8,0.0,0.0,0,0,0,-2,0,0,0
1657.72,0.0,0.0,0.0,0,2,0,-2,0,0,0
1499.04,207.75,0.0,0.0,2,0,1,0,0,0,0
1211.06,10.07,0.0,0.0,0,0,0,-2,0,0,0
817.38,71.94,0.0,0.0,0,0,0,-2,0,0,0
520.68,1.61,0.0,0.0,0,2,0,-2,0,0,0
848.72,835.09,0.0,0.0,0,0,0,-2,0,0,0
1137.64,787.42,0.0,0.0,0,0,0,-2,0,0,0
1367.86,235.03,0.0,0.0,2,0,0,-2,0,0,0
803.86,475.83,0.0,0.0,0,0,0,-2,0,0,0
900.02,1847.58,0.0,0.0,0,0,0,-2,0,0,0
3075.85,0.0,0.0,355.84,0,0,0,-2,0,0,0
877.8,16.4,0.0,0.0,0,0,0,-2,0,0,0
1604.99,1212.54,0.0,0.0,0,0,0,-2,0,0,0
942.39,664.97,0.0,0.0,1,0,2,0,0,0,0
2857.74,0.0,0.0,485.24,0,0,0,-2,0,0,0
927.6,712.25,0.0,0.0,0,0,0,-2,0,0,0
1260.54,0.0,0.0,680.24,0,0,0,-2,0,0,0
1119.64,0.0,0.0,0.0,1,0,0,-2,0,0,0
1183.36,1084.05,0.0,0.0,0,0,0,-2,0,0,0
1843.5,0.0,0.0,831.19,0,0,0,-2,0,0,0
1003.63,1068.62,0.0,0.0,0,0,0,-2,0,0,0
608.86,564.69,0.0,0.0,2,0,0,-2,0,0,0
1888.25,0.0,0.0,0.0,0,0,0,-2,0,0,0
3397.89,0.0,0.0,3310.92,0,0,0,-2,0,0,0
1737.85,0.0,0.0,836.22,0,0,0,-2,0,0,0
982.16,0.0,0.0,0.0,0,0,0,-2,0,0,0
2478.8,538.65,0.0,0.0,0,0,0,-2,0,0,0
248.03,0.0,842.35,0.0,0,0,0,-2,0,0,0
